,precision,recall,f1-score,support
Negative,0.375,0.12857142857142856,0.19148936170212766,70.0
Neutral,0.2191780821917808,0.41379310344827586,0.2865671641791045,116.0
Positive,0.9282407407407407,0.8891352549889135,0.9082672706681767,1353.0
accuracy,0.8187134502923976,0.8187134502923976,0.8187134502923976,0.8187134502923976
macro avg,0.5074729409775072,0.4771665956695393,0.4621079321831363,1539.0
weighted avg,0.8496324754752883,0.8187134502923976,0.828805499400889,1539.0
